127.0.0.1 - - [30/Oct/2021:14:37:48 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:37:53 +0530] "GET /Exam1/ HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:37:54 +0530] "GET /Exam1/img/new-gif-image.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:37:54 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:37:54 +0530] "GET /Exam1/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:37:54 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:38:00 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:50 +0530] "GET /Exam1/login_page.jsp HTTP/1.1" 200 4580
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:50 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:50 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:52 +0530] "POST /Exam1/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:52 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13922
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:52 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:52 +0530] "GET /Exam1/profiles/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:56 +0530] "GET /Exam1/SubjectServlet?cid=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:56 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3863
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:56 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:39:58 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:40:00 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 7440
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:40:00 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:38 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 7470
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:38 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:38 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:46 +0530] "GET /Exam1/SubjectServlet?cid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:46 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 14055
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:46 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:48 +0530] "GET /Exam1/SubjectServlet?cid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:48 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3863
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:48 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:49 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:50 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 7470
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:50 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:55 +0530] "GET /Exam1/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:55 +0530] "GET /Exam1/login_page.jsp HTTP/1.1" 200 4688
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:49:55 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:24 +0530] "POST /Exam1/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:24 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 12704
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:24 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:24 +0530] "GET /Exam1/profiles/default.png HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:29 +0530] "GET /Exam1/SubjectServlet?cid=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:29 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3863
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:29 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:31 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:32 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 8382
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:32 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:40 +0530] "POST /Exam1/QuestionServlet HTTP/1.1" 200 4023
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:40 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:42 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13303
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:50:42 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:07 +0530] "GET /Exam1/SubjectServlet?cid=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:07 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13436
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:07 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:07 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:09 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13303
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:09 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:09 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:10 +0530] "GET /Exam1/SubjectServlet?cid=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:10 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13436
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:10 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:12 +0530] "GET /Exam1/SubjectServlet?cid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:12 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3863
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:12 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:14 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:15 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 6930
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:15 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:42 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 6900
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:42 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:50 +0530] "POST /Exam1/QuestionServlet HTTP/1.1" 200 4019
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:50 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:55 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 500 2609
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:59 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:57:59 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:00 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:00 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:03 +0530] "GET /Exam1/SubjectServlet?cid=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:03 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 14109
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:03 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:07 +0530] "GET /Exam1/SubjectServlet?cid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:07 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3863
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:07 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:09 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:10 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 6900
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:10 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:30 +0530] "POST /Exam1/QuestionServlet HTTP/1.1" 200 4019
0:0:0:0:0:0:0:1 - - [30/Oct/2021:14:58:30 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:00:50 +0530] "POST /Exam1/QuestionServlet HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:00:54 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:00:54 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:00:55 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:00:55 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:00:57 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:00:58 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 500 1394
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:00:58 +0530] "GET /Exam1/img/error.png HTTP/1.1" 200 22476
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:12 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:12 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:13 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:13 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:13 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:13 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:13 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:13 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:13 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:13 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:15 +0530] "GET /Exam1/SubjectServlet?cid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:15 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:15 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:16 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:17 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:17 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:22 +0530] "POST /Exam1/QuestionServlet HTTP/1.1" 200 4019
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:22 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:25 +0530] "POST /Exam1/QuestionServlet HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:30 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 500 1394
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:32 +0530] "GET /Exam1/index.jsp HTTP/1.1" 200 6808
0:0:0:0:0:0:0:1 - - [30/Oct/2021:15:01:32 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 776
