127.0.0.1 - - [24/Nov/2021:11:49:59 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:16 +0530] "GET /Exam1/ HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:16 +0530] "GET /Exam1/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:16 +0530] "GET /Exam1/img/one.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:16 +0530] "GET /Exam1/img/three.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:16 +0530] "GET /Exam1/img/two.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:16 +0530] "GET /Exam1/img/new-gif-image.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:17 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:17 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:18 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:27 +0530] "GET /Exam1/login_page.jsp HTTP/1.1" 200 6770
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:27 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:57 +0530] "POST /Exam1/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:57 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 14785
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:57 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:50:57 +0530] "GET /Exam1/profiles/three.jpg HTTP/1.1" 200 69056
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:51:00 +0530] "GET /Exam1/SubjectServlet?cid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:51:00 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:51:00 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:51:03 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:51:05 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 8082
0:0:0:0:0:0:0:1 - - [24/Nov/2021:11:51:05 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
