127.0.0.1 - - [16/Dec/2021:15:10:26 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:27 +0530] "GET /Exam1/ HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:27 +0530] "GET /Exam1/img/new-gif-image.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:27 +0530] "GET /Exam1/img/one.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:27 +0530] "GET /Exam1/img/three.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:27 +0530] "GET /Exam1/img/two.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:27 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:27 +0530] "GET /Exam1/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:28 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:28 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:33 +0530] "GET /Exam1/login_page.jsp HTTP/1.1" 200 6770
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:10:33 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:11:39 +0530] "POST /Exam1/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:11:39 +0530] "GET /Exam1/login_page.jsp HTTP/1.1" 200 6889
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:11:39 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:11:54 +0530] "POST /Exam1/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:11:54 +0530] "GET /Exam1/login_page.jsp HTTP/1.1" 200 6889
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:11:54 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:12:22 +0530] "POST /Exam1/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:12:22 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 14785
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:12:22 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:12:22 +0530] "GET /Exam1/profiles/three.jpg HTTP/1.1" 200 69056
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:12:26 +0530] "GET /Exam1/SubjectServlet?cid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:12:26 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3865
